BGC,SIClass,Area,Var
SBPSxc,3,297648,AllForest
SBPSxc,4,28172,AllForest
SBPSxc,5,1275,AllForest
SBPSxc,6,21,AllForest
SBPSxc,7,5,AllForest
SBSdh1,3,6604,AllForest
SBSdh1,4,15265,AllForest
SBSdh1,5,5880,AllForest
SBSdh1,6,127,AllForest
SBSdh1,7,9,AllForest
SBSdh2,3,5128,AllForest
SBSdh2,4,5358,AllForest
SBSdh2,5,2150,AllForest
SBSdh2,6,234,AllForest
SBSdk,3,268555,AllForest
SBSdk,4,300791,AllForest
SBSdk,5,49106,AllForest
SBSdk,6,4245,AllForest
SBSdk,7,516,AllForest
SBSdw1,3,32401,AllForest
SBSdw1,4,160722,AllForest
SBSdw1,5,95442,AllForest
SBSdw1,6,3833,AllForest
SBSdw1,7,145,AllForest
SBSdw2,3,94029,AllForest
SBSdw2,4,240954,AllForest
SBSdw2,5,81555,AllForest
SBSdw2,6,2270,AllForest
SBSdw2,7,329,AllForest
SBSdw3,3,146292,AllForest
SBSdw3,4,387858,AllForest
SBSdw3,5,128545,AllForest
SBSdw3,6,4561,AllForest
SBSdw3,7,676,AllForest
SBSmc1,3,13111,AllForest
SBSmc1,4,24992,AllForest
SBSmc1,5,7843,AllForest
SBSmc1,6,118,AllForest
SBSmc1,7,17,AllForest
SBSmc2,3,755214,AllForest
SBSmc2,4,705107,AllForest
SBSmc2,5,116009,AllForest
SBSmc2,6,11285,AllForest
SBSmc2,7,1429,AllForest
SBSmc3,3,147608,AllForest
SBSmc3,4,44576,AllForest
SBSmc3,5,5973,AllForest
SBSmc3,6,206,AllForest
SBSmh,3,2317,AllForest
SBSmh,4,27100,AllForest
SBSmh,5,12211,AllForest
SBSmh,6,1859,AllForest
SBSmh,7,249,AllForest
SBSmk1,3,342318,AllForest
SBSmk1,4,544997,AllForest
SBSmk1,5,177768,AllForest
SBSmk1,6,11142,AllForest
SBSmk1,7,1234,AllForest
SBSmk2,3,72969,AllForest
SBSmk2,4,114331,AllForest
SBSmk2,5,29937,AllForest
SBSmk2,6,1774,AllForest
SBSmk2,7,363,AllForest
SBSmm,3,15660,AllForest
SBSmm,4,33496,AllForest
SBSmm,5,13173,AllForest
SBSmm,6,430,AllForest
SBSmm,7,60,AllForest
SBSmw,3,20434,AllForest
SBSmw,4,82689,AllForest
SBSmw,5,79062,AllForest
SBSmw,6,6534,AllForest
SBSmw,7,347,AllForest
SBSun,3,70432,AllForest
SBSun,4,18972,AllForest
SBSun,5,5686,AllForest
SBSun,6,1729,AllForest
SBSun,7,458,AllForest
SBSvk,3,138393,AllForest
SBSvk,4,108702,AllForest
SBSvk,5,36836,AllForest
SBSvk,6,8610,AllForest
SBSvk,7,1526,AllForest
SBSwk1,3,193324,AllForest
SBSwk1,4,290117,AllForest
SBSwk1,5,142971,AllForest
SBSwk1,6,20400,AllForest
SBSwk1,7,2931,AllForest
SBSwk2,3,192724,AllForest
SBSwk2,4,156337,AllForest
SBSwk2,5,41897,AllForest
SBSwk2,6,2318,AllForest
